STATE,DESTINATION,COUNTY/LOCATION DEFINED,SEASON BEGIN,SEASON END,FY25 Lodging Rate,FY25 M&IE
TX,Big Spring,Howard,,,114,68
TX,Dallas,Dallas ,October 1,December 31,170,80
TX,Dallas,Dallas ,January 1,March 31,191,80
TX,Dallas,Dallas ,April 1,September 30,170,80
TX,Galveston,Galveston,October 1,May 31,111,74
TX,Galveston,Galveston,June 1,July 31,146,74
TX,Galveston,Galveston,August 1,September 30,111,74
TX,Houston,Montgomery / Fort Bend / Harris,,,128,80
TX,Midland / Odessa,Midland / Andrews / Ector / Martin,October 1,October 31,132,74
TX,Midland / Odessa,Midland / Andrews / Ector / Martin,November 1,January 31,118,74
TX,Midland / Odessa,Midland / Andrews / Ector / Martin,February 1,September 30,132,74
TX,Pecos,Reeves,,,121,74
TX,Plano,Collin,,,123,80
TX,San Antonio,Bexar,October 1,January 31,137,74
TX,San Antonio,Bexar,February 1,March 31,161,74
TX,San Antonio,Bexar,April 1,September 30,137,74
TX,South Padre Island,Cameron,October 1,February 28,118,74
TX,South Padre Island,Cameron,March 1,July 31,140,74
TX,South Padre Island,Cameron,August 1,September 30,118,74
UT,Moab,Grand,October 1,October 31,221,86
UT,Moab,Grand,November 1,February 28,110,86
UT,Moab,Grand,March 1,June 30,212,86
UT,Moab,Grand,July 1,August 31,166,86
UT,Moab,Grand,September 1,September 30,221,86
UT,Park City,Summit,October 1,November 30,221,92
UT,Park City,Summit,December 1,March 31,483,92
UT,Park City,Summit,April 1,September 30,221,92
UT,Provo,Utah,,,117,74
UT,Salt Lake City,Salt Lake / Tooele,,,142,80
VA,Blacksburg,Montgomery,,,122,68
VA,Charlottesville,City of Charlottesville / Albemarle,,,136,80
VA,Loudoun,Loudoun,,,115,80
VA,Lynchburg,Campbell / Lynchburg City,October 1,May 31,115,68
VA,Lynchburg,Campbell / Lynchburg City,June 1,July 31,110,68
VA,Lynchburg,Campbell / Lynchburg City,August 1,September 30,115,68
VA,Richmond,City of Richmond,,,157,80
VA,Roanoke,City limits of Roanoke,,,119,74
VA,Virginia Beach,City of Virginia Beach,October 1,May 31,124,74
VA,Virginia Beach,City of Virginia Beach,June 1,August 31,210,74
VA,Virginia Beach,City of Virginia Beach,September 1,September 30,124,74
VA,Wallops Island,Accomack,October 1,June 30,131,68
VA,Wallops Island,Accomack,July 1,August 31,248,68
VA,Wallops Island,Accomack,September 1,September 30,131,68
VA,Williamsburg / York,James City / York Counties / City of Williamsburg,October 1,December 31,115,80
VA,Williamsburg / York,James City / York Counties / City of Williamsburg,January 1,March 31,110,80
VA,Williamsburg / York,James City / York Counties / City of Williamsburg,April 1,August 31,134,80
VA,Williamsburg / York,James City / York Counties / City of Williamsburg,September 1,September 30,115,80
VT,Burlington,Chittenden,October 1,October 31,202,86
VT,Burlington,Chittenden,November 1,April 30,128,86
VT,Burlington,Chittenden,May 1,September 30,202,86
VT,Manchester,Bennington,October 1,October 31,220,86
VT,Manchester,Bennington,November 1,July 31,168,86
VT,Manchester,Bennington,August 1,September 30,220,86
VT,Montpelier,Washington,October 1,October 31,227,74
VT,Montpelier,Washington,November 1,July 31,167,74
VT,Montpelier,Washington,August 1,September 30,227,74
VT,Stowe ,Lamoille,October 1,February 28,185,86
VT,Stowe ,Lamoille,March 1,May 31,148,86
VT,Stowe ,Lamoille,June 1,September 30,185,86
VT,White River Junction,Windsor,,,144,86
WA,Everett / Lynnwood,Snohomish,October 1,May 31,113,86
WA,Everett / Lynnwood,Snohomish,June 1,August 31,140,86
WA,Everett / Lynnwood,Snohomish,September 1,September 30,113,86
WA,Ocean Shores,Grays Harbor,October 1,June 30,110,86
WA,Ocean Shores,Grays Harbor,July 1,August 31,132,86
WA,Ocean Shores,Grays Harbor,September 1,September 30,110,86
WA,Olympia / Tumwater,Thurston,October 1,November 30,128,80
WA,Olympia / Tumwater,Thurston,December 1,June 30,151,80
WA,Olympia / Tumwater,Thurston,July 1,August 31,175,80
WA,Olympia / Tumwater,Thurston,September 1,September 30,128,80
WA,Port Angeles / Port Townsend,Clallam / Jefferson,October 1,June 30,137,92
WA,Port Angeles / Port Townsend,Clallam / Jefferson,July 1,August 31,235,92
WA,Port Angeles / Port Townsend,Clallam / Jefferson,September 1,September 30,137,92
WA,Richland / Pasco,Benton / Franklin,,,130,86
WA,Seattle,King,October 1,May 31,188,92
WA,Seattle,King,June 1,September 30,248,92
WA,Spokane,Spokane,,,126,86
WA,Tacoma,Pierce,,,136,86
WA,Vancouver,Clark / Cowlitz / Skamania,,,155,86
WI,Madison,Dane,October 1,October 31,138,80
WI,Madison,Dane,November 1,April 30,110,80
WI,Madison,Dane,May 1,September 30,138,80
WI,Milwaukee,Milwaukee,,,140,80
WI,Sturgeon Bay,Door,October 1,October 31,133,80
WI,Sturgeon Bay,Door,November 1,May 31,110,80
WI,Sturgeon Bay,Door,June 1,September 30,133,80
WV,Charles Town,Jefferson,,,122,68
WV,Charleston,Kanawha,,,115,68
WY,Cody,Park,October 1,May 31,127,74
WY,Cody,Park,June 1,September 30,190,74
WY,Jackson / Pinedale,Teton / Sublette,October 1,May 31,212,92
WY,Jackson / Pinedale,Teton / Sublette,June 1,September 30,420,92
