meeting_airport,total_cost,path1,cost1,path2,cost2,path3,cost3
CMH,759,MSP->ORD->CMH,243,LAX->CMH,162,HOU->DSM->CMH,354
PBI,760,MSP->EWR->PBI,245,LAX->IAH->PBI,248,HOU->PBI,267
ALB,764,MSP->ALB,224,LAX->ORD->ALB,288,HOU->ALB,252
STL,769,MSP->ORD->STL,206,LAX->PHX->STL,240,HOU->ORD->STL,323
SDF,774,MSP->ORD->SDF,199,LAX->ORD->SDF,259,HOU->ORD->SDF,316
DCA,786,MSP->ORD->DCA,203,LAX->ORD->DCA,263,HOU->ORD->DCA,320
MYR,786,MSP->ORD->MYR,203,LAX->ORD->MYR,263,HOU->ORD->MYR,320
TPA,787,MSP->ORD->TPA,241,LAX->TPA,207,HOU->CLE->TPA,339
ANC,797,MSP->SEA->ANC,319,LAX->SEA->ANC,164,HOU->BOI->SEA->ANC,314
BNA,798,MSP->ORD->BNA,222,LAX->BNA,237,HOU->ORD->BNA,339
ICT,800,MSP->ORD->ICT,221,LAX->DEN->ICT,241,HOU->ORD->ICT,338
OAK,803,MSP->OAK,257,LAX->SEA->OAK,198,HOU->BOI->SEA->OAK,348
AVL,804,MSP->ORD->AVL,209,LAX->ORD->AVL,269,HOU->ORD->AVL,326
TUL,806,MSP->ORD->TUL,224,LAX->DEN->TUL,241,HOU->ORD->TUL,341
MTJ,806,MSP->DEN->MTJ,210,LAX->DEN->MTJ,220,HOU->DSM->DEN->MTJ,376
RSW,807,MSP->ORD->RSW,227,LAX->RSW,236,HOU->ORD->RSW,344
TYS,813,MSP->ORD->TYS,212,LAX->ORD->TYS,272,HOU->ORD->TYS,329
CVG,816,MSP->ORD->CVG,220,LAX->SEA->CVG,259,HOU->ORD->CVG,337
PHL,818,MSP->ORD->PHL,258,LAX->ORD->PHL,318,HOU->PHL,242
LGA,818,MSP->ORD->LGA,216,LAX->LGA,269,HOU->ORD->LGA,333
MDW,819,MSP->MDW,152,LAX->ORD->DTW->MDW,369,HOU->ATL->MDW,298
ASE,820,MSP->ORD->ASE,260,LAX->ASE,183,HOU->ORD->ASE,377
JAC,820,MSP->JAC,240,LAX->JAC,194,HOU->ORD->JAC,386
SPI,822,MSP->SPI,142,LAX->SPI,270,HOU->MSP->SPI,410
VPS,823,MSP->ORD->VPS,223,LAX->AUS->VPS,260,HOU->ORD->VPS,340
PVD,826,MSP->ORD->PVD,307,LAX->PVD,202,HOU->PVD,317
MAF,829,MSP->DEN->SLC->MAF,338,LAX->AUS->MAF,210,HOU->ATL->MAF,281
BUR,835,MSP->BUR,245,LAX->SFO->BUR,190,HOU->BOI->SEA->SFO->BUR,400
SYR,839,MSP->ORD->JFK->SYR,257,LAX->JFK->SYR,256,HOU->DTW->BOS->SYR,326
DFW,839,MSP->DEN->DFW,241,LAX->DEN->DFW,251,HOU->ATL->DFW,347
HSV,843,MSP->HSV,235,LAX->HSV,363,HOU->HSV,245
BGR,846,MSP->BGR,233,LAX->BGR,260,HOU->DTW->BGR,353
EVV,849,MSP->EVV,189,LAX->AUS->EVV,337,HOU->DTW->EVV,323
FAR,855,MSP->ORD->FAR,226,LAX->ORD->FAR,286,HOU->ORD->FAR,343
MSY,856,MSP->ORD->MSY,259,LAX->MSY,267,HOU->MSY,330
RIC,857,MSP->ORD->BOS->RIC,309,LAX->RIC,307,HOU->RIC,241
CHS,857,MSP->ORD->JFK->CHS,278,LAX->CHS,220,HOU->ATL->JFK->CHS,359
MIA,863,MSP->IAH->MIA,286,LAX->IAH->MIA,276,HOU->ATL->MIA,301
MHK,864,MSP->DEN->MHK,235,LAX->DEN->MHK,245,HOU->OKC->MHK,384
SRQ,864,MSP->ORD->SRQ,237,LAX->SEA->SRQ,273,HOU->ORD->SRQ,354
RDU,868,MSP->ORD->RDU,260,LAX->JFK->RDU,263,HOU->ATL->JFK->RDU,345
ELP,881,MSP->ELP,241,LAX->SFO->ELP,260,HOU->ELP,380
GPT,887,MSP->GPT,344,LAX->GPT,267,HOU->GPT,276
CRP,889,MSP->CRP,301,LAX->CRP,251,HOU->CRP,337
HRL,891,MSP->DEN->HRL,313,LAX->HRL,259,HOU->HRL,319
MOB,895,MSP->MOB,294,LAX->SEA->EUG->MOB,332,HOU->MOB,269
LGB,895,MSP->LGB,191,LAX->SFO->LGB,315,HOU->CLE->LGB,389
JAN,896,MSP->JAN,272,LAX->AUS->JAN,245,HOU->JAN,379
FLL,907,MSP->EWR->FLL,266,LAX->SFO->FLL,261,HOU->CLE->FLL,380
RAP,919,MSP->ORD->RAP,251,LAX->SAT->RAP,300,HOU->ORD->RAP,368
ECP,919,MSP->ECP,244,LAX->ECP,298,HOU->ORD->ECP,377
SBP,920,MSP->DEN->BOI->SBP,381,LAX->PHX->SBP,223,HOU->BOI->SBP,316
JAX,925,MSP->ORD->JAX,281,LAX->JFK->JAX,281,HOU->ATL->JFK->JAX,363
SAV,929,MSP->ORD->JFK->SAV,283,LAX->JFK->SAV,282,HOU->ATL->JFK->SAV,364
BHM,930,MSP->BHM,240,LAX->AUS->BHM,296,HOU->DAY->BHM,394
MRY,930,MSP->MRY,266,LAX->SEA->PDX->MRY,257,HOU->BOI->SEA->PDX->MRY,407
AEX,935,MSP->AEX,256,LAX->IAH->AEX,277,HOU->CLT->AEX,402
GRK,940,MSP->IAH->GRK,287,LAX->IAH->GRK,277,HOU->PWM->GRK,376
GSP,941,MSP->GSP,283,LAX->SAT->GSP,307,HOU->GSP,351
PNS,941,MSP->PNS,258,LAX->SAN->PNS,282,HOU->ORD->PNS,401
CHA,943,MSP->CHA,249,LAX->SEA->RDM->CHA,272,HOU->BOI->SEA->RDM->CHA,422
OAJ,949,MSP->OAJ,259,LAX->OAJ,320,HOU->RIC->OAJ,370
SHV,949,MSP->SHV,272,LAX->SAT->SHV,249,HOU->ORD->SHV,428
PHF,952,MSP->EWR->PHF,279,LAX->BDL->PHF,274,HOU->DTW->BOS->PHF,399
AZO,952,MSP->AZO,266,LAX->DSM->AZO,371,HOU->DSM->AZO,315
EWN,953,MSP->EWN,249,LAX->JFK->EWN,311,HOU->ATL->JFK->EWN,393
SGF,954,MSP->ORD->SGF,259,LAX->ORD->SGF,319,HOU->ORD->SGF,376
FCA,958,MSP->ORD->FCA,284,LAX->LAS->FCA,273,HOU->ORD->FCA,401
SAF,966,MSP->SAF,236,LAX->SAF,226,HOU->MSP->SAF,504
FAY,967,MSP->FAY,278,LAX->FAY,300,HOU->DAY->FAY,389
KOA,971,MSP->DEN->LAX->KOA,399,LAX->KOA,177,HOU->HNL->KOA,395
MBS,976,MSP->MBS,267,LAX->MBS,295,HOU->ATL->MBS,414
MGM,976,MSP->MGM,312,LAX->IAH->MGM,377,HOU->MGM,287
ISP,976,MSP->ORD->CLT->ISP,397,LAX->PHX->ISP,330,HOU->ISP,249
MHT,980,MSP->MHT,237,LAX->SAT->MHT,364,HOU->MHT,379
MEM,983,MSP->ORD->MEM,272,LAX->SAT->MEM,322,HOU->ORD->MEM,389
LIH,987,MSP->DEN->LAX->LIH,407,LAX->LIH,185,HOU->HNL->LIH,395
MDT,990,MSP->MDT,257,LAX->ORD->MDT,338,HOU->ORD->MDT,395
FAT,995,MSP->FAT,328,LAX->SAN->FAT,237,HOU->BOI->FAT,430
XNA,996,MSP->ORD->XNA,273,LAX->ORD->XNA,333,HOU->ORD->XNA,390
AGS,999,MSP->AGS,244,LAX->SEA->AGS,364,HOU->DSM->AGS,391
HNL,1004,MSP->MDW->HNL,459,LAX->HNL,249,HOU->HNL,296
EYW,1004,MSP->ORD->EYW,390,LAX->SAN->EYW,358,HOU->EYW,256
ILM,1011,MSP->ILM,282,LAX->SAN->ILM,363,HOU->ILM,366
FSD,1013,MSP->ORD->FSD,285,LAX->PHX->FSD,326,HOU->ORD->FSD,402
CHO,1013,MSP->CHO,278,LAX->SEA->ONT->CHO,301,HOU->DAY->CHO,434
SGU,1020,MSP->ORD->OKC->SGU,355,LAX->PHX->SGU,266,HOU->OKC->SGU,399
DAL,1024,MSP->DAL,315,LAX->SEA->BOI->DAL,382,HOU->ATL->DAL,327
CAE,1025,MSP->CAE,301,LAX->CMH->CAE,360,HOU->LIT->CAE,364
OGG,1026,MSP->ORD->OGG,416,LAX->KOA->OGG,245,HOU->HNL->OGG,365
ROA,1028,MSP->ROA,277,LAX->EWR->ROA,357,HOU->DTW->ROA,394
AVP,1039,MSP->ORD->AVP,313,LAX->SAN->AVP,350,HOU->PHL->AVP,376
TLH,1046,MSP->IAH->TLH,379,LAX->IAH->TLH,369,HOU->TLH,298
LCH,1046,MSP->ORD->LCH,390,LAX->SAT->LCH,324,HOU->ATL->LCH,332
HPN,1056,MSP->ORD->HPN,313,LAX->ORD->HPN,373,HOU->RIC->HPN,370
TXK,1059,MSP->ORD->TXK,299,LAX->LAS->TXK,344,HOU->ORD->TXK,416
ROW,1072,MSP->IAH->ROW,362,LAX->SAN->ROW,238,HOU->BOI->SAN->ROW,472
LYH,1074,MSP->ORD->LYH,299,LAX->ORD->LYH,359,HOU->ORD->LYH,416
SBY,1074,MSP->ORD->SBY,299,LAX->ORD->SBY,359,HOU->ORD->SBY,416
BTR,1079,MSP->BTR,304,LAX->AUS->BTR,305,HOU->DAY->BTR,470
ABI,1082,MSP->ORD->ICT->ABI,371,LAX->AUS->ABI,251,HOU->AUS->ABI,460
GSO,1084,MSP->GSO,291,LAX->AUS->GSO,397,HOU->LIT->GSO,396
GJT,1085,MSP->ORD->SAT->GJT,395,LAX->GJT,218,HOU->BOI->GJT,472
CYS,1085,MSP->DEN->CYS,303,LAX->DEN->CYS,313,HOU->DSM->DEN->CYS,469
TRI,1087,MSP->TRI,266,LAX->EWR->TRI,411,HOU->ORF->TRI,410
IDA,1088,MSP->IDA,269,LAX->IDA,306,HOU->BOI->SEA->PDX->IDA,513
