meeting_airport,total_cost,path1,cost1,path2,cost2,path3,cost3
OME,1814,MSP->SEA->ANC->OME,658,LAX->SEA->ANC->OME,503,HOU->BOI->SEA->ANC->OME,653
PIH,1845,MSP->DEN->SLC->PIH,597,LAX->SEA->SLC->PIH,549,HOU->BOI->SEA->SLC->PIH,699
TWF,1846,MSP->DEN->TWF,597,LAX->LAS->TWF,535,HOU->BOI->SEA->SLC->TWF,714
BRW,1865,MSP->SEA->ANC->BRW,675,LAX->SEA->ANC->BRW,520,HOU->BOI->SEA->ANC->BRW,670
ELM,1880,MSP->ORD->DTW->ELM,606,LAX->ORD->DTW->ELM,666,HOU->DTW->ELM,608
DHN,1908,MSP->ORD->CLT->DHN,632,LAX->MCO->DHN,631,HOU->HSV->DHN,645
INL,1917,MSP->ORD->INL,580,LAX->ORD->INL,640,HOU->ORD->INL,697
BJI,1917,MSP->ORD->BJI,580,LAX->ORD->BJI,640,HOU->ORD->BJI,697
COD,1925,MSP->DEN->COD,583,LAX->DEN->COD,593,HOU->DSM->DEN->COD,749
BGM,1925,MSP->ORD->DTW->BGM,621,LAX->ORD->DTW->BGM,681,HOU->DTW->BGM,623
BQK,1964,MSP->ORD->BQK,673,LAX->BWI->BQK,701,HOU->ATL->BQK,590
SCC,1978,MSP->ORD->FAI->SCC,658,LAX->SEA->ANC->SCC,585,HOU->BOI->SEA->ANC->SCC,735
GFK,1996,MSP->ORD->GFK,612,LAX->DEN->GFK,655,HOU->ORD->GFK,729
GGG,2009,MSP->DEN->DFW->GGG,631,LAX->DEN->DFW->GGG,641,HOU->ATL->DFW->GGG,737
EKO,2015,MSP->DEN->EKO,613,LAX->DEN->EKO,623,HOU->DSM->DEN->EKO,779
PVU,2015,MSP->DEN->SNA->PVU,719,LAX->SEA->SNA->PVU,573,HOU->SNA->PVU,723
ACV,2019,MSP->DEN->PDX->ACV,714,LAX->SEA->PDX->ACV,595,HOU->BOI->ACV,710
VLD,2047,MSP->ORD->VLD,673,LAX->GPT->VLD,697,HOU->LIT->VLD,677
APN,2051,MSP->ORD->DCA->APN,633,LAX->ORD->DCA->APN,693,HOU->ATL->APN,725
DIK,2075,MSP->DEN->DIK,633,LAX->DEN->DIK,643,HOU->DSM->DEN->DIK,799
LNK,2180,MSP->ORD->STL->LNK,707,LAX->PHX->STL->LNK,741,HOU->LIT->LNK,732
HOB,2195,MSP->DEN->HOB,673,LAX->DEN->HOB,683,HOU->DSM->DEN->HOB,839
CPR,2224,MSP->DEN->BOI->CPR,800,LAX->SEA->BOI->CPR,689,HOU->BOI->CPR,735
ABR,2495,MSP->DEN->ABQ->ABR,815,LAX->ABQ->ABR,737,HOU->ORD->ABQ->ABR,943
IMT,2499,MSP->ORD->DCA->IMT,774,LAX->ORD->DCA->IMT,834,HOU->ORD->DCA->IMT,891
CDC,2668,MSP->IAH->CDC,835,LAX->IAH->CDC,825,HOU->ATL->IAH->CDC,1008
BRD,2804,MSP->DEN->PHX->BRD,969,LAX->PHX->BRD,809,HOU->BOI->SEA->PHX->BRD,1026
